park_id,unit_code,name,designation,population_center,region
614,FLNI,Flight 93 NMEM,National Memorial,Rural Area,Northeast  Region
615,POCH,Port Chicago Naval Magazine NMEM,National Memorial,Suburban Area,Pacific West  Region
616,AFBG,African Burial Ground NM,National Monument,Urban Area,Northeast  Region
440,APCO,Appomattox Court House NHP,National Historical Park,Outlying Area,Northeast  Region
401,ZION,Zion NP,National Park,Outlying Area,Intermountain  Region
358,GREE,Greenbelt Park,Park (Other),Urban Area,National Capital  Region
451,FOWA,Fort Washington Park,Park (Other),Urban Area,National Capital  Region
224,PAIS,Padre Island NS,National Seashore,Rural Area,Intermountain  Region
454,PETE,Petersburg NB,National Battlefield,Mixed Area,Northeast  Region
465,ANIA,Aniakchak NM & PRES,National Monument,Remote Area,Alaska Region
468,MANA,Manassas NBP,National Battlefield Park,Suburban Area,National Capital  Region
482,WHIS,Whiskeytown NRA,National Recreation Area,Outlying Area,Pacific West  Region
487,LONG,Longfellow House Washington's HQ NHS,National Historic Site,Urban Area,Northeast  Region
470,LOWE,Lowell NHP,National Historical Park,Urban Area,Northeast  Region
474,NATR,Natchez Trace PKWY,National Parkway,Mixed Area,Southeast  Region
475,GLCA,Glen Canyon NRA,National Recreation Area,Rural Area,Intermountain  Region
248,WICR,Wilson's Creek NB,National Battlefield,Outlying Area,Midwest  Region
250,WHMI,Whitman Mission NHS,National Historic Site,Outlying Area,Pacific West  Region
520,PISP,Pipe Spring NM,National Monument,Outlying Area,Intermountain  Region
458,CURE,Curecanti NRA,National Recreation Area,Rural Area,Intermountain  Region
477,HAMP,Hampton NHS,National Historic Site,Urban Area,Northeast  Region
480,BRCA,Bryce Canyon NP,National Park,Rural Area,Intermountain  Region
491,NERI,New River Gorge NP & PRES,National Park,Outlying Area,Northeast  Region
234,FIIS,Fire Island NS,National Seashore,Suburban Area,Northeast  Region
455,JODA,John Day Fossil Beds NM,National Monument,Rural Area,Pacific West  Region
236,TUIN,Tuskegee Institute NHS,National Historic Site,Rural Area,Southeast  Region
237,WOTR,Wolf Trap NP for the Performing Arts,Park (Other),Urban Area,National Capital  Region
238,LYJO,Lyndon B. Johnson NHP,National Historical Park,Rural Area,Intermountain  Region
239,LIBO,Lincoln Boyhood NMEM,National Memorial,Rural Area,Midwest  Region
